f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
83,0,10,0,5,15,0,0,0,1,53,152,0,0,1,14,0,0,0,1,1,0,0,15,0,1,0,0,8,0,0,11,22,1427,0.2333566923615977,3,75,1,0,0,2,83,0.976470588235294,0
0,0,0,0,0,0,1,2,1,0,7,9,0,0,1,0,0,0,0,4,4,3,0,1,0,1,0,0,1,0,3,1,14,89,0.4269662921348314,2,2,0,0,0,9,0,0.0,1
31,0,18,9,8,9,0,0,0,0,34,82,0,0,0,11,0,0,0,4,4,0,0,2,1,1,0,0,0,0,0,18,16,554,0.1913357400722021,3,4,5,0,0,27,31,0.5344827586206896,0
0,2,4,3,0,6,0,0,1,0,17,54,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,6,0,0,1,0,12,1677,0.4537865235539654,2,10,0,0,0,29,2,0.064516129032258,1
82,0,18,5,21,18,0,0,0,2,37,92,0,0,2,16,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,12,20,1355,0.5357933579335793,11,13,15,0,0,5,82,0.942528735632184,0
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,1
0,0,0,0,2,0,1,0,1,0,0,3,0,0,1,0,0,0,0,3,3,2,0,0,0,0,0,3,2,0,70,2,17,101,0.1485148514851485,1,0,8,0,0,2,0,0.0,1
22,0,28,79,13,8,2,11,3,0,92,182,0,0,1,8,1,0,1,20,17,4,0,10,0,1,0,7,1,1,21,3,16,1069,0.2151543498596819,6,4,1,9,0,108,22,0.1692307692307692,0
54,0,1,0,28,10,2,2,2,0,16,64,0,1,0,0,0,0,0,6,6,2,0,1,0,1,0,28,0,0,22,2,17,522,0.1762452107279693,27,73,2,7,0,0,54,1.0,1
0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,28,0.5357142857142857,2,0,2,0,0,12,0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0.0,1
15,0,22,1,16,5,0,0,0,0,5,51,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,8,15,347,0.2824207492795389,0,15,5,7,0,1,15,0.9375,0
152,0,79,1,5,71,0,1,1,1,169,564,0,0,1,29,0,0,0,7,3,1,0,13,0,1,0,14,0,0,0,24,21,2991,0.1180207288532263,3,35,7,10,0,96,152,0.6129032258064516,0
153,0,133,0,6,5,1,136,2,1,107,530,0,0,1,98,0,0,0,140,140,5,0,7,0,1,0,0,1,1,5,1,16,2744,0.2459912536443148,4,138,11,4,0,7,153,0.95625,0
125,0,20,2,18,22,0,20,1,1,150,181,0,0,1,2,0,0,0,25,25,1,0,0,1,1,0,0,0,0,0,15,27,1671,0.1687612208258528,12,6,25,0,0,67,125,0.6510416666666666,0
15,0,9,0,11,8,1,5,1,1,3,29,0,0,1,1,0,0,0,10,8,4,0,2,0,1,0,0,0,0,2,2,15,163,0.2331288343558282,2,5,0,5,0,0,15,1.0,1
2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,38,0.631578947368421,0,0,1,0,0,2,2,0.5,0
22,0,5,0,27,1,0,0,1,0,301,827,0,0,1,1,0,0,0,6,6,0,0,1,0,1,0,0,30,1,38,24,27,2605,0.2134357005758157,5,36,5,1,0,4,22,0.8461538461538461,0
157,0,31,4,23,18,0,0,1,1,124,442,0,0,1,1,0,0,0,2,2,0,0,2,0,1,0,2,0,0,0,2,15,1944,0.1152263374485596,2,19,0,1,0,6,157,0.9631901840490796,0
0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,17,78,0.4743589743589743,1,0,0,0,0,5,0,0.0,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,7,20,0.35,1,0,1,0,0,1,0,0.0,1
1,0,1,0,6,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,6,31,0.3870967741935484,0,0,3,1,0,0,1,1.0,1
13,1,18,0,7,13,0,15,4,0,58,141,0,0,1,1,0,0,0,41,41,1,0,1,0,1,0,0,0,1,0,0,18,864,0.2372685185185185,12,7,0,1,0,74,14,0.1590909090909091,0
85,0,21,11,29,33,0,1,1,3,24,110,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,24,1,0,2,30,902,0.2516629711751663,12,24,1,0,0,12,85,0.8762886597938144,0
28,0,6,17,5,16,0,2,1,0,6,28,0,1,0,1,1,0,1,3,3,0,0,0,0,1,0,1,0,0,0,0,13,218,0.4128440366972477,2,23,1,0,0,14,28,0.6666666666666666,0
1,0,8,74,5,10,0,0,0,1,20,36,0,0,0,8,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,14,531,0.2222222222222222,5,35,3,0,0,50,1,0.0196078431372549,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0.4166666666666667,0,0,1,0,0,0,1,1.0,1
49,0,28,5,41,6,0,0,2,1,72,106,0,0,1,11,0,0,0,0,0,0,0,3,0,1,0,2,5,0,0,9,17,879,0.2195676905574516,10,20,10,54,0,32,49,0.6049382716049383,0
39,0,44,3,9,16,0,1,1,0,8,189,0,0,1,10,0,0,0,6,4,0,0,0,0,0,0,0,6,1,6,105,11,568,0.1197183098591549,7,1,11,0,0,3,39,0.9285714285714286,0
3,0,3,0,9,16,0,12,4,0,7,115,0,0,3,9,0,0,0,20,20,0,0,3,1,1,0,8,0,1,0,0,15,443,0.1557562076749435,4,20,0,14,0,24,3,0.1111111111111111,1
5,0,6,1,6,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,140,0.8857142857142857,0,1,1,0,0,102,5,0.0467289719626168,0
11,0,9,0,1,7,1,0,1,0,1,0,0,0,0,0,0,0,0,3,3,2,0,1,0,1,0,0,5,0,15,5,10,42,0.3809523809523809,3,6,3,0,0,0,11,1.0,1
16,0,3,0,7,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,105,0,50,24,6,102,0.7647058823529411,7,4,3,0,0,16,16,0.5,0
130,0,46,0,19,11,0,0,1,5,90,451,0,0,1,129,0,0,0,3,3,0,0,1,0,1,0,0,0,1,0,2,20,2001,0.1004497751124437,3,55,0,0,0,0,130,1.0,0
7,0,12,0,14,8,0,1,6,0,13,170,0,0,1,8,0,0,0,5,5,1,0,1,0,1,0,0,0,0,31,0,22,1610,0.1298136645962733,1,3,1,1,0,25,7,0.21875,0
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.3766233766233766,1,1,1,6,0,8,1,0.1111111111111111,1
102,0,18,4,34,53,0,0,0,0,22,271,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,5,47,35,1433,0.1814375436147941,22,68,36,1,0,4,102,0.9622641509433962,0
1,0,3,1,21,1,1,5,1,0,1,4,1,0,1,0,0,0,0,8,8,1,0,0,0,1,0,0,5,0,10,2,24,597,0.3785594639865997,0,1,5,0,0,1,1,0.5,0
43,0,29,4,30,5,0,0,1,0,140,1344,0,0,0,5,1,0,1,2,2,0,0,1,0,1,0,0,0,0,1,5,22,4750,0.2096842105263157,4,52,7,110,0,58,43,0.4257425742574257,0
0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,0.6666666666666666,1,3,2,0,0,7,0,0.0,1
45,5,9,5,12,9,3,20,2,0,28,44,0,0,1,2,0,0,0,29,29,4,0,6,1,1,0,0,0,1,8,2,16,791,0.3375474083438685,7,97,8,0,0,6,50,0.8928571428571429,0
149,0,12,0,35,109,0,0,1,1,9,35,0,0,2,5,0,0,0,3,3,0,0,0,0,0,0,3,4,0,3,9,19,583,0.4768439108061749,35,14,0,142,0,9,149,0.9430379746835444,1
5,0,12,1,25,6,0,0,2,1,3,196,0,0,1,2,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,3,16,714,0.1092436974789916,0,4,1,0,0,7,5,0.4166666666666667,0
32,0,30,1,20,28,0,0,0,0,6,261,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,10,0,4,10,23,1841,0.1629549158066268,1,37,0,0,0,33,32,0.4923076923076923,0
