f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,is_phishing
18,10,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0.3333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,7,4.666666666666667,2,7,4.5,0,0,0.0,0,0,0,0,0,1
45,15,0,4,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,2,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,3,8,4.375,3,7,4.333333333333333,0,0,0.0,0,1,0,0,0,0
50,20,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,16,8.8,3,16,9.5,4,16,10.0,2,0,0,1,0,1
30,21,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,13,6.0,3,13,6.333333333333333,0,0,0.0,0,0,0,0,0,0
50,25,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,3,17,5.125,3,17,7.666666666666667,3,4,3.5,0,0,0,1,0,1
21,14,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0.47619047619047616,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,10,5.666666666666667,3,10,6.5,0,0,0.0,0,0,0,0,0,1
57,19,0,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,1,1,1,0.05263157894736842,0.0,0,0,0,0,0,1,0,0,0,0,1,1,7,3,3,18,6.857142857142857,3,11,5.666666666666667,4,18,8.666666666666666,0,1,0,1,0,0
18,9,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,6,4.333333333333333,2,6,4.0,0,0,0.0,0,0,0,0,0,1
22,13,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,8,5.666666666666667,4,8,6.0,0,0,0.0,0,1,0,0,1,0
18,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,0.3333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,4.333333333333333,3,6,4.5,0,0,0.0,0,0,0,0,0,1
23,14,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,10,6.0,3,10,6.5,0,0,0.0,0,0,0,0,1,1
43,22,0,2,1,1,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,0.06976744186046512,0.09090909090909091,0,0,0,0,0,0,1,0,0,0,0,0,8,2,1,12,4.125,3,12,6.666666666666667,0,0,0.0,0,0,0,0,0,1
160,67,0,3,8,0,1,0,0,1,2,0,0,4,0,1,0,0,0,0,0,1,1,1,0,0.1125,0.11940298507462686,0,0,1,1,0,1,1,0,0,0,0,0,17,2,2,22,8.352941176470589,2,16,8.714285714285714,2,22,7.428571428571429,3,0,1,1,0,1
