f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
20,12,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0.2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,9,5.0,2,9,5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,1
51,15,0,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,11,4.444444444444445,3,11,7.0,2,5,3.5,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.2,0,0,0,0,0,0,1,1.0,1
20,12,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,9,5.0,2,9,5.5,0,0,0,0,0,0,0,0,139,0,25,0,20,17,0,1,1,1,121,519,0,0,0,12,4,0,4,5,5,0,0,7,1,1,0,19,0,0,5,10,20,2118,0.14825306893295562,29,217,19,37,0,52,139,0.7277486910994765,0
143,11,0,1,19,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,1,1,1,0.11188811188811189,0.0,0,0,0,0,0,0,0,0,0,0,1,0,26,2,1,10,4.423076923076923,5,5,5.0,1,10,4.142857142857143,0,0,0,0,0,51,0,12,2,9,10,0,3,1,3,49,321,0,0,2,1,0,0,0,5,5,1,0,1,0,0,0,0,1,0,0,0,15,1285,0.2607003891050584,6,74,2,8,0,31,51,0.6219512195121951,0
17,10,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.35294117647058826,0.6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,7,4.333333333333333,2,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,1
22,14,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,10,5.666666666666667,3,10,6.5,0,0,0,0,0,0,0,0,20,0,16,0,7,6,0,0,0,4,188,252,0,0,2,21,0,0,0,2,2,0,0,7,1,1,0,0,22,0,0,40,13,1610,0.1670807453416149,7,66,0,51,0,196,20,0.09259259259259259,0
20,13,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,7,3.75,1,7,3.6666666666666665,0,0,0,0,1,0,0,0,0,0,3,0,0,16,0,0,2,0,40,43,0,0,0,13,0,0,0,2,2,0,0,2,0,1,0,0,0,0,0,1,13,1965,0.8127226463104326,12,0,44,0,0,68,0,0.0,1
16,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.3125,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,4.0,3,5,4.0,0,0,0,0,0,0,0,0,1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.37662337662337664,1,1,1,6,0,8,1,0.1111111111111111,1
52,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,1,1,0.34615384615384615,0.125,0,0,0,0,0,1,0,0,0,0,1,1,6,2,1,25,7.5,3,8,4.666666666666667,1,25,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10,0,0,1,0,0,0,0,0,13,1,0,0,2,0,0,0,0,0,0,0,0,13,182,0.34615384615384615,1,2,0,1,0,13,0,0.0,1
46,11,0,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,13,6.333333333333333,2,8,5.0,5,13,7.666666666666667,0,0,0,0,0,38,0,9,1,15,8,0,0,1,0,15,29,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,9,242,0.3677685950413223,4,4,7,0,0,2,38,0.95,0
