f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
21,0,17,2,18,9,0,9,4,1,19,185,0,0,1,17,0,0,0,29,29,1,0,2,0,1,0,0,7,0,1,16,27,1388,0.15345821325648415,4,45,1,1,0,16,21,0.5675675675675675,False
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,19,0.3157894736842105,1,0,0,0,0,1,0,0.0,False
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,19,0.3157894736842105,1,0,0,0,0,1,0,0.0,False
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0.4,1,0,0,0,0,2,0,0.0,False
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0.4,1,0,0,0,0,2,0,0.0,False
0,0,3,0,1,0,1,1,1,0,0,7,0,0,1,1,0,0,0,4,4,2,0,0,0,0,0,0,0,0,4,0,8,52,0.3076923076923077,1,1,0,0,0,1,0,0.0,False
13,0,30,6,86,10,0,0,1,2,53,89,0,0,1,9,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,32,1554,0.21364221364221364,4,28,18,24,0,35,13,0.2708333333333333,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
34,0,15,0,3,5,0,0,0,0,8,59,0,0,1,3,0,0,0,1,1,0,0,4,0,1,0,0,1,0,0,3,16,310,0.3387096774193548,2,10,0,0,0,2,34,0.9444444444444444,False
106,0,15,0,3,5,0,0,0,0,117,100,0,0,1,12,0,0,0,1,1,0,0,2,1,1,0,0,7,0,0,42,18,816,0.32107843137254904,2,40,0,0,0,39,106,0.7310344827586207,False
34,0,15,0,3,5,0,0,0,0,8,59,0,0,1,3,0,0,0,1,1,0,0,4,0,1,0,0,1,0,0,3,16,310,0.3387096774193548,2,10,0,0,0,2,34,0.9444444444444444,False
7,0,2,0,0,1,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,8,37,0.40540540540540543,1,0,0,1,0,6,7,0.5384615384615384,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0.14285714285714285,0,0,1,0,0,0,0,0.0,False
18,0,13,0,5,24,0,0,1,1,3,48,0,0,1,4,0,0,0,1,1,0,0,0,0,1,0,0,8,0,66,6,22,465,0.2623655913978495,1,1,9,0,0,33,18,0.35294117647058826,False
81,1,23,2,15,19,0,13,1,2,57,104,0,0,1,6,0,0,0,16,16,0,0,5,0,1,0,0,6,0,1,1,26,654,0.27522935779816515,7,33,9,3,0,34,82,0.7068965517241379,False
81,1,23,2,15,19,0,13,1,2,57,104,0,0,1,6,0,0,0,16,16,0,0,5,0,1,0,0,6,0,1,1,26,654,0.27522935779816515,7,33,9,3,0,34,82,0.7068965517241379,False
81,1,23,2,15,19,0,13,1,2,57,104,0,0,1,6,0,0,0,16,16,0,0,5,0,1,0,0,6,0,1,1,26,654,0.27522935779816515,7,33,9,3,0,34,82,0.7068965517241379,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,50,663,0.012066365007541479,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,523,0.0,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,126,127,0.007874015748031496,0,0,0,0,0,0,0,0.0,False
5,0,24,51,21,15,2,40,16,5,56,194,0,0,1,1,0,0,0,81,54,6,0,7,0,1,0,6,29,1,26,9,22,1560,0.28525641025641024,17,27,2,14,3,93,5,0.05102040816326531,False
5,0,24,51,21,15,2,40,16,5,56,194,0,0,1,1,0,0,0,81,54,6,0,7,0,1,0,6,29,1,26,9,22,1560,0.28525641025641024,17,27,2,14,3,93,5,0.05102040816326531,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.4,0,0,0,0,0,0,0,0.0,False
18,0,8,0,11,0,0,6,2,0,67,180,0,0,1,5,0,0,0,10,8,1,0,1,0,0,0,0,0,1,0,0,19,849,0.19199057714958775,1,26,3,2,0,66,18,0.21428571428571427,False
19,0,14,0,9,0,0,4,1,0,58,181,0,0,1,4,0,0,0,5,5,0,0,1,0,0,0,0,0,1,0,0,16,610,0.18688524590163935,1,23,3,2,0,56,19,0.25333333333333335,False
13,0,1,0,8,0,0,2,1,0,76,201,0,0,1,61,0,0,0,3,3,0,0,1,0,0,0,0,0,1,0,0,15,752,0.16356382978723405,1,1,3,2,0,75,13,0.14772727272727273,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,35,0.0,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6009,0.0003328340822100183,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
4,1,8,0,1,2,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,13,145,0.32413793103448274,1,2,0,0,0,0,5,1.0,False
4,1,8,0,1,2,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,12,284,0.2323943661971831,1,3,0,0,0,0,5,1.0,False
